Region,Chr,Start,End,Attributes,TotalE2E,FwdE2E,RevE2E,Total,Fwd,Rev
OBRA_BRCA1_25,chr17,41222904,41222975,BRCA1,1520,643,877,1580,664,916,
PARP4_24.1916,chr13,25060272,25060396,PARP4,1519,893,626,1866,942,924,
FUBP1_10.5561,chr1,78429906,78430023,FUBP1,1519,801,718,1743,933,810,
CALR_tmb4_1.34612,chr19,13054652,13054751,CALR,1519,662,857,1586,695,891,
188871_1.22290,chrX,41064620,41064737,USP9X,1519,788,731,1653,870,783,
FAT1_1.110506,chr4,187509949,187510078,FAT1,1519,1007,512,2228,1069,1159,
CTCF_7.19190,chr16,67662361,67662481,CTCF,1519,776,743,1624,833,791,
FGF9_1.78026,chr13,22246082,22246202,FGF9,1519,622,897,2006,999,1007,
ZFHX3_1.2.34545,chr16,72822131,72822251,ZFHX3,1519,688,831,1648,760,888,
USP9X_15.82807,chrX,41025279,41025404,USP9X,1519,782,737,1603,816,787,
KMT2C_18.43304,chr7,151864261,151864384,KMT2C,1519,700,819,1751,859,892,
BARD1_11.17369,chr2,215674255,215674382,BARD1,1519,555,964,2039,989,1050,
SP_1007.11879,chr20,4705643,4705767,rs2245220,1519,743,776,1750,814,936,
112246_1.8022,chr8,90982531,90982646,NBN,1519,834,685,1842,914,928,
e_del_154143_20976_SETD2_1.50204,chr3,47129573,47129699,SETD2,1518,871,647,1847,976,871,
OBRA_BRCA2_137,chr13,32954219,32954332,BRCA2,1518,691,827,1840,791,1049,
BRAF_7.39810,chr7,140477786,140477882,BRAF,1518,156,1362,1688,216,1472,
LATS1_5.1.248139,chr6,150004850,150004968,LATS1,1517,769,748,1787,800,987,
CDC73_12.2611,chr1,193181174,193181273,CDC73,1517,777,740,1703,869,834,
ERAP2_tmb9_1.113027,chr5,96239037,96239159,ERAP2,1517,782,735,1665,849,816,
SPEN_11.1.63499,chr1,16255194,16255318,SPEN,1517,740,777,1663,786,877,
FYN_1.64052,chr6,111982890,111982987,FYN,1516,752,764,1718,886,832,
RNASEH2A_2.13843,chr19,12917786,12917920,RNASEH2A,1516,581,935,1856,836,1020,
MARCO_tmb4_1.7430,chr2,119750760,119750883,MARCO,1516,559,957,1983,959,1024,
e_del_161127_21676_SMAD4_1.7339,chr18,48575031,48575149,SMAD4,1516,775,741,1766,889,877,
APC_2.12095,chr5,112102858,112102980,APC,1516,757,759,1784,894,890,
18305_1.3403,chr2,215646144,215646258,BARD1,1516,748,768,1682,781,901,
BAP1_8.41263,chr3,52439749,52439879,BAP1,1515,770,745,1930,830,1100,
CREBBP_30.180603,chr16,3900625,3900759,CREBBP,1515,749,766,2038,1037,1001,
SP_221.31578,chr10,68040229,68040347,rs4548513,1515,764,751,1680,862,818,
NOTCH3_26.12439,chr19,15299858,15299995,NOTCH3,1514,631,883,2167,1125,1042,
KMT2B_18.14760,chr19,36218784,36218918,KMT2B,1514,708,806,1704,828,876,
SP_719.10756,chr17,43367965,43368091,rs143313926,1514,726,788,1627,779,848,
KMT2D_29.53061,chr12,49436553,49436688,KMT2D,1514,658,856,1773,861,912,
FANCA_22.42565,chr16,89839570,89839694,FANCA,1514,811,703,1776,894,882,
SP_303.37942,chr11,58034537,58034667,rs10792156,1514,882,632,2790,1025,1765,
RUNX1_5.36380,chr21,36231824,36231947,RUNX1,1514,642,872,1677,738,939,
SP_24.45956,chr1,26786588,26786703,rs3816539,1514,650,864,1634,685,949,
PBRM1_6.38113,chr3,52597378,52597487,PBRM1,1514,852,662,1681,952,729,
ATM_16.11565,chr11,108178697,108178790,ATM,1513,703,810,1582,738,844,
KMT2A_27.2.194074,chr11,118374105,118374232,KMT2A,1513,1089,424,3189,1577,1612,
7152998062,chr9,5029841,5029935,JAK2,1513,728,785,1580,758,822,
NRAS_4.401,chr1,115258637,115258760,NRAS,1513,695,818,1699,818,881,
EP300_31.1.55358,chr22,41573385,41573522,EP300,1513,586,927,1977,937,1040,
TCF7L2_11.73404,chr10,114911458,114911561,TCF7L2,1513,650,863,1694,741,953,
MEN1_4.55549,chr11,64573724,64573862,MEN1,1512,764,748,1643,797,846,
CREBBP_4.19787,chr16,3794820,3794914,CREBBP,1512,681,831,1626,732,894,
e_del_179634_24186_TP53_1.97569,chr17,7577069,7577183,TP53,1512,791,721,1580,830,750,
HRAS_5.16044,chr11,534218,534352,HRAS,1512,625,887,1847,852,995,
SP_841.2694,chr19,48715144,48715230,rs3745718,1511,736,775,1562,749,813,
KMT2A_33.81140,chr11,118390677,118390800,KMT2A,1511,756,755,1712,849,863,
FUBP1_7.68687,chr1,78428433,78428547,FUBP1,1511,922,589,1770,981,789,
ARID2_15.2.224445,chr12,46245525,46245650,ARID2,1511,673,838,1678,775,903,
ERCC2_16.4466,chr19,45867506,45867634,ERCC2,1511,769,742,2109,1056,1053,
FAT1_4.29711,chr4,187518900,187519023,FAT1,1511,772,739,1815,922,893,
PDGFRB_10.14615,chr5,149503783,149503916,PDGFRB,1511,798,713,1635,845,790,
PARP1_5.76926,chr1,226552669,226552797,PARP1,1511,744,767,1782,864,918,
KMT2D_42.7737,chr12,49442422,49442535,KMT2D,1511,791,720,1694,894,800,
BRIP1_8.111694,chr17,59924493,59924588,BRIP1,1510,686,824,1591,705,886,
s190_1.22549,chr3,168819834,168819910,MECOM,1510,715,795,1650,832,818,
TFS_s257_1.387,chr2,141232708,141232768,rs77794732,1510,807,703,1562,840,722,
KMT2A_14.72220,chr11,118361979,118362083,KMT2A,1510,684,826,1648,767,881,
KMT2D_21.2.161268,chr12,49431800,49431928,KMT2D,1509,694,815,1823,910,913,
APC_3.1096,chr5,112111346,112111421,APC,1509,706,803,1661,750,911,
PTCH1_4.20167,chr9,98239116,98239197,PTCH1,1509,693,816,1554,710,844,
JAK3_8.23857,chr19,17945340,17945444,JAK3,1509,589,920,1624,653,971,
SP_603.10900,chr15,79755533,79755630,rs2297773,1509,750,759,1566,768,798,
OBRA_BRCA2_151,chr13,32972765,32972851,BRCA2,1509,736,773,1600,778,822,
SP_1462.9298,chr6,159399311,159399413,rs768994,1509,793,716,1696,869,827,
PPM1D_4.96951,chr17,58725308,58725429,PPM1D,1508,705,803,1832,921,911,
63857_1.28225,chr14,45644231,45644345,FANCM,1508,700,808,1678,758,920,
SP_335.890,chr11,103780409,103780529,rs10791649,1508,894,614,1602,927,675,
MAPK8_6.28034,chr10,49632099,49632221,MAPK8,1508,783,725,1745,940,805,
MEN1_9.80793,chr11,64577411,64577548,MEN1,1508,693,815,1856,777,1079,
U2AF1_6.34983,chr21,44520646,44520731,U2AF1,1508,792,716,1650,824,826,
SP_1239.4824,chr4,84230575,84230694,rs11099592,1507,797,710,1579,847,732,
EP300_1.24944,chr22,41489001,41489123,EP300,1507,777,730,1738,863,875,
KMT2C_24.2.146612,chr7,151879219,151879338,KMT2C,1507,679,828,1820,919,901,
CREBBP_16.13039,chr16,3842003,3842125,CREBBP,1507,722,785,1672,784,888,
MAP3K1_14.1.284353,chr5,56177325,56177444,MAP3K1,1507,808,699,1619,876,743,
JAK2_13.97908,chr9,5126609,5126733,JAK2,1506,744,762,1630,786,844,
KMT2D_16.1.137243,chr12,49425371,49425504,KMT2D,1506,893,613,1924,1264,660,
ATR_35.5644,chr3,142272041,142272140,ATR,1506,724,782,1748,806,942,
ETV6_7.63752,chr12,12038832,12038952,ETV6,1506,784,722,1634,816,818,
r11_1.1192,chr10,43613886,43613979,RET,1506,748,758,1660,832,828,
NOTCH2_16.27239,chr1,120483259,120483379,NOTCH2,1506,776,730,1677,870,807,
SP_1035.10807,chr20,44691255,44691355,rs1537028,1505,829,676,1746,904,842,
e_del_52309_5134_DNMT3A_1.10231,chr2,25469036,25469138,DNMT3A,1505,717,788,1901,928,973,
SP_830.22468,chr19,41007946,41008063,rs814526,1504,643,861,1722,717,1005,
SPEN_2.52455,chr1,16199228,16199334,SPEN,1504,809,695,1662,841,821,
SP_491.16771,chr13,101720213,101720336,rs1289556,1503,817,686,1640,871,769,
124083_1.20624,chr3,52610576,52610691,PBRM1,1503,860,643,1640,903,737,
MET_4.48880,chr7,116422043,116422163,MET,1503,701,802,1623,776,847,
KMT2B_31.39932,chr19,36227641,36227765,KMT2B,1503,641,862,1647,661,986,
SP_669.13089,chr16,89199538,89199658,rs12447947,1503,677,826,1596,731,865,
ATR_35.27167,chr3,142272193,142272315,ATR,1503,1168,335,2490,1447,1043,
FANCI_24.53319,chr15,89843114,89843229,FANCI,1503,702,801,1686,799,887,
TGFBR2_8.84336,chr3,30732912,30733043,TGFBR2,1503,859,644,1753,1002,751,
RAD50_23.37198,chr5,131973708,131973829,RAD50,1503,736,767,1702,842,860,
SP_1066.6220,chr22,17990806,17990905,rs5747211,1503,823,680,1614,883,731,
OBRA_BRCA1_99,chr17,41251870,41251946,BRCA1,1503,728,775,1963,1114,849,
SP_216.2.98369,chr7,128846356,128846446,SMO,1503,711,792,1564,750,814,
PRDM1_122.1.1728,chr6,106553059,106553182,PRDM1,1502,774,728,2028,1081,947,
SP_660.38445,chr16,72827707,72827830,ZFHX3,1502,756,746,1641,833,808,
FUBP1_8.60485,chr1,78429186,78429299,FUBP1,1502,753,749,1793,874,919,
NF1_21.34145,chr17,29585398,29585501,NF1,1501,665,836,1630,727,903,
RAD50_4.19141,chr5,131915172,131915246,RAD50,1501,713,788,1576,730,846,
TBX3_5.57856,chr12,115117292,115117384,TBX3,1501,652,849,1668,730,938,
KMT2D_21.1.173075,chr12,49431567,49431690,KMT2D,1501,331,1170,2768,1447,1321,
TSC1_1.182749,chr9,135801011,135801133,TSC1,1500,692,808,1939,1096,843,
CYLD_2.94041,chr16,50785667,50785810,CYLD,1500,690,810,1588,746,842,
POLD1_5.10482,chr19,50905604,50905728,POLD1,1500,760,740,1690,891,799,
SP_1067.14713,chr22,18226744,18226832,rs8190315,1500,783,717,1631,867,764,
KDM6A_18.284400,chrX,44928941,44929050,KDM6A,1500,838,662,1662,916,746,
195381_9.16208,chr16,72828986,72829089,ZFHX3,1500,819,681,1876,894,982,
PARP1_11.104851,chr1,226564869,226564991,PARP1,1500,801,699,1600,835,765,
EPHA2_6.12973,chr1,16458837,16458962,EPHA2,1500,817,683,1812,890,922,
MGA_1.2.5732,chr15,41962072,41962183,MGA,1500,776,724,1690,876,814,
LOW_r777_1.12747,chr9,139410385,139410513,NOTCH1,1499,933,566,1889,1003,886,
MGA_10.26253,chr15,42021509,42021632,MGA,1499,676,823,1611,723,888,
SP_218.17833,chr7,128850272,128850366,SMO,1499,793,706,1555,821,734,
NOTCH4_23.72992,chr6,32187481,32187612,NOTCH4,1499,816,683,1711,911,800,
PMS2_5.8511,chr7,6027138,6027271,PMS2,1499,731,768,1741,812,929,
RAD54L_15.13172,chr1,46739797,46739915,RAD54L,1499,843,656,1629,914,715,
PARP4_13.66565,chr13,25029317,25029401,PARP4,1498,802,696,1560,842,718,
FGF23_3.13591,chr12,4488695,4488779,FGF23,1498,804,694,1605,865,740,
SPEN_13.30740,chr1,16264305,16264440,SPEN,1498,861,637,1648,920,728,
SPEN_9.36616,chr1,16247315,16247435,SPEN,1498,727,771,1581,762,819,
KMT2C_24.2.239345,chr7,151878757,151878877,KMT2C,1498,657,841,1736,816,920,
MP_OCP1_PIK3R1_21,chr5,67588964,67589035,PIK3R1,1498,742,756,1532,754,778,
TSC2_1.3436,chr16,2098661,2098773,TSC2,1497,774,723,1581,797,784,
YES1_7.26832,chr18,745733,745852,YES1,1497,743,754,1640,864,776,
OCP1_BAP1_12,chr3,52437766,52437855,BAP1,1496,680,816,1624,726,898,
TAP2_tmb4_1.63195,chr6,32798043,32798164,TAP2,1496,590,906,2320,1072,1248,
SP_1389.10602,chr6,39040570,39040696,rs2235868,1496,398,1098,1674,448,1226,
NOTCH1_13.31060,chr9,139401847,139401968,NOTCH1,1496,721,775,1616,777,839,
MAGOH_3.68093,chr1,53699307,53699405,MAGOH,1496,714,782,1595,766,829,
MLH1_14.15434,chr3,37089958,37090057,MLH1,1495,790,705,1711,901,810,
CHEK1_9.49908,chr11,125514146,125514301,CHEK1,1495,711,784,1701,799,902,
CUL4B_7.25535,chrX,119671990,119672101,CUL4B,1495,731,764,1627,786,841,
KMT2B_8.64560,chr19,36214539,36214671,KMT2B,1494,713,781,1707,875,832,
TSC2_38.11075,chr16,2137781,2137879,TSC2,1494,640,854,1661,769,892,
FANCE_10.62830,chr6,35434074,35434197,FANCE,1494,820,674,1716,963,753,
MP_OCP1_NOTCH1_72,chr9,139409778,139409866,NOTCH1,1494,851,643,1800,884,916,
MECOM_14.8027,chr3,168849167,168849289,MECOM,1493,775,718,1924,892,1032,
MAP2K4_8.4031,chr17,12016461,12016583,MAP2K4,1493,1204,289,1650,1283,367,
CTNND2_tmb2_1.66086,chr5,10992662,10992797,CTNND2,1493,561,932,1885,668,1217,
SP_809.3448,chr19,16025116,16025249,rs1060463,1493,989,504,2219,1046,1173,
ETV6_4.12083,chr12,12006410,12006518,ETV6,1493,802,691,1680,847,833,
FANCI_14.40743,chr15,89824431,89824553,FANCI,1493,625,868,2098,1098,1000,
SP_1026.49732,chr20,33971859,33971981,rs4911494,1493,627,866,2251,1147,1104,
JAK1_11.37991,chr1,65321258,65321355,JAK1,1493,768,725,1599,822,777,
SP_51.51165,chr2,16085936,16086052,MYCN,1493,772,721,1559,802,757,
RHEB_2.10040,chr7,151167637,151167717,RHEB,1492,772,720,1600,847,753,
MRE11A_12.68581,chr11,94203565,94203682,MRE11,1492,798,694,1628,867,761,
STK11_1.23024,chr19,1206977,1207089,STK11,1492,889,603,1822,1014,808,
FG_SP_99.120670,chr19,47424300,47424415,ARHGAP35,1492,734,758,1638,852,786,
SP_1.2818,chr1,9770510,9770637,PIK3CD,1492,675,817,1621,706,915,
PIK3CB_4.70842,chr3,138382695,138382768,PIK3CB,1492,865,627,1679,955,724,
BLM_6.143036,chr15,91304393,91304513,BLM,1492,749,743,1689,805,884,
DICER1_5.63681,chr14,95562489,95562617,DICER1,1492,716,776,1748,876,872,
e_del_154142_20976_SETD2_1.15206,chr3,47127659,47127732,SETD2,1491,802,689,1612,834,778,
PPP6C_4.24639,chr9,127920475,127920595,PPP6C,1491,712,779,1610,803,807,
SP_1828.16303,chrX,151138166,151138288,rs1139916,1490,710,780,1755,824,931,
SP_693.5292,chr17,19812506,19812624,rs203462,1490,741,749,1774,899,875,
123716_1.32041,chr13,25058830,25058951,PARP4,1490,797,693,1607,834,773,
ATM_17.52833,chr11,108139083,108139192,ATM,1489,687,802,1621,772,849,
SP_817.4440,chr19,22846740,22846853,rs11672238,1489,610,879,1646,735,911,
SP_493.4254,chr13,111111155,111111282,rs7990383,1489,843,646,1760,1076,684,
e_del_132097_18522_PMS2_1.40054,chr7,6048576,6048682,PMS2,1488,934,554,1744,987,757,
MAP3K1_18.71214,chr5,56183122,56183241,MAP3K1,1488,731,757,1580,789,791,
e_del_132728_18588_POLE_1.85784,chr12,133245007,133245126,POLE,1488,694,794,2019,1067,952,
13782_8.48929,chr10,63852190,63852270,ARID5B,1488,795,693,1551,806,745,
PTCH1_6.70829,chr9,98241300,98241394,PTCH1,1488,720,768,1577,768,809,
SP_1505.6386,chr7,64291906,64292002,rs10949946,1488,676,812,1541,711,830,
ATM_30.13994,chr11,108235734,108235851,ATM,1487,684,803,1827,953,874,
BRIP1_1.242863,chr17,59760720,59760836,BRIP1,1487,772,715,1605,834,771,
ERBB2_4,chr17,37879588,37879689,ERBB2,1487,762,725,1793,924,869,
CD276_9.33166,chr15,74005216,74005327,CD276,1487,537,950,1615,620,995,
CYLD_10.12499,chr16,50818266,50818386,CYLD,1487,580,907,1707,758,949,
JAK3_16.57090,chr19,17950969,17951120,JAK3,1487,707,780,1886,833,1053,
MSH6_4.2.283590,chr2,48026654,48026777,MSH6,1487,691,796,1800,793,1007,
NCOR1_18.7528,chr17,15975468,15975588,NCOR1,1486,736,750,1726,909,817,
EP300_10.8427,chr22,41537087,41537207,EP300,1486,892,594,1778,1101,677,
58910_1.4285,chr1,16464448,16464566,EPHA2,1486,497,989,2139,1032,1107,
SP_42.36848,chr1,40980641,40980757,rs11208299,1486,685,801,1573,742,831,
ATM_28.20504,chr11,108160386,108160485,ATM,1486,791,695,1566,848,718,
62400_1.48561,chr4,84383635,84383735,ABRAXAS1,1486,978,508,1566,1002,564,
MP_SP_96.12326,chr19,4117502,4117611,MAP2K2,1486,886,600,1610,925,685,
142447_1.12956,chr3,141290287,141290370,RASA2,1486,770,716,1619,846,773,
DICER1_21.10884,chr14,95592906,95593019,DICER1,1485,787,698,1602,818,784,
CSMD3_tmb47_1.93011,chr8,113697544,113697664,CSMD3,1485,778,707,1665,894,771,
CDK12_14.136116,chr17,37687391,37687519,CDK12,1485,625,860,1764,810,954,
BCOR_10.22751,chrX,39930138,39930266,BCOR,1485,777,708,1623,843,780,
EP300_2.212455,chr22,41513482,41513612,EP300,1484,739,745,1706,827,879,
CASP8_9.39723,chr2,202149723,202149852,CASP8,1484,730,754,1860,1004,856,
MP_POLE_7.74987,chr12,133210826,133210947,POLE,1484,1100,384,1694,1219,475,
65065_1.18015,chr4,153258908,153259002,FBXW7,1484,848,636,1622,906,716,
63751_1.38562,chr3,10116217,10116331,FANCD2,1484,857,627,1599,876,723,
SP_966.11337,chr2,198950186,198950310,rs1064213,1484,811,673,1591,845,746,
SP_210.33604,chr7,116339789,116339908,MET,1484,684,800,1636,764,872,
SP_1364.24522,chr5,178359088,178359168,rs961030,1484,704,780,1572,749,823,
SMARCA4_24.34236,chr19,11141453,11141541,SMARCA4,1484,730,754,1603,805,798,
SP_622.7785,chr16,2821551,2821642,rs8017,1484,818,666,1615,859,756,
SP_496.12832,chr13,115004840,115004966,rs2296971,1484,684,800,1813,861,952,
RASA2_25.32651,chr3,141331142,141331228,RASA2,1483,793,690,1666,835,831,
EP300_22.19792,chr22,41560025,41560134,EP300,1483,785,698,1617,887,730,
ALK_9.26128,chr2,29446167,29446286,ALK,1483,741,742,1711,815,896,
ZRSR2_7.31554,chrX,15827299,15827421,ZRSR2,1483,659,824,1682,821,861,
17442_9.40704,chrX,76939538,76939682,ATRX,1483,630,853,1978,935,1043,
APC_16.6.157236,chr5,112178140,112178257,APC,1482,761,721,1672,821,851,
OBRA_BRCA1_109,chr17,41267626,41267705,BRCA1,1482,787,695,1623,835,788,
STAT6_10.38394,chr12,57496084,57496209,STAT6,1482,750,732,2083,1045,1038,
FANCA_30.71181,chr16,89857810,89857937,FANCA,1482,745,737,2061,1049,1012,
HDAC2_12.8595,chr6,114279730,114279838,HDAC2,1482,787,695,1607,815,792,
NCOR1_37.56485,chr17,16049806,16049949,NCOR1,1482,816,666,1694,889,805,
OBRA_BRCA2_86,chr13,32914691,32914806,BRCA2,1481,775,706,1740,798,942,
CDK12_7.10092,chr17,37676293,37676415,CDK12,1481,728,753,1665,854,811,
ARID2_8.78496,chr12,46230713,46230832,ARID2,1481,726,755,1612,770,842,
SP_1393.17817,chr6,44255452,44255538,rs324146,1481,737,744,1731,832,899,
SMARCA4_7.114349,chr19,11123550,11123685,SMARCA4,1480,718,762,1654,779,875,
n17-KMT2C_26.279643,chr7,151882647,151882734,KMT2C,1480,758,722,1574,827,747,
KMT2C_17.1.59822,chr7,151859362,151859483,KMT2C,1480,778,702,1695,833,862,
PARP3_9.40379,chr3,51980290,51980385,PARP3,1480,800,680,1594,896,698,
RAD50_7.63737,chr5,131923634,131923757,RAD50,1480,653,827,1750,817,933,
SP_227.6834,chr8,38272265,38272356,FGFR1,1480,802,678,1682,844,838,
PPM1D_4.68551,chr17,58725401,58725524,PPM1D,1480,589,891,1737,806,931,
RARA_6.33961,chr17,38508669,38508798,RARA,1480,798,682,1757,952,805,
MP_RNF43_2.1.92000,chr17,56434907,56434995,RNF43,1480,681,799,1553,702,851,
SP_1388.16881,chr6,37348988,37349108,rs34150698,1479,698,781,1641,759,882,
OBRA_BRCA1_74,chr17,41245742,41245819,BRCA1,1479,724,755,1574,740,834,
FANCA_43.41278,chr16,89882251,89882367,FANCA,1479,780,699,1729,928,801,
SP_1739.1170,chrX,35820367,35820492,rs1410961,1479,677,802,1748,897,851,
TSC2_15.12118,chr16,2115505,2115626,TSC2,1479,826,653,1710,910,800,
88514_2.14854,chrX,44945169,44945276,KDM6A,1479,715,764,1664,822,842,
PRDM1_124.11059,chr6,106554867,106554994,PRDM1,1478,844,634,1731,1052,679,
SETD2_10.164336,chr3,47125704,47125850,SETD2,1478,665,813,1699,795,904,
RAD51D_6.30907,chr17,33434040,33434163,RAD51D,1478,692,786,1657,770,887,
BCOR_12.2.20284,chrX,39933400,39933536,BCOR,1478,783,695,1716,847,869,
CNTN6_tmb12_1.36265,chr3,1415715,1415840,CNTN6,1478,746,732,1646,827,819,
FANCA_16.75612,chr16,89831273,89831384,FANCA,1477,810,667,1759,851,908,
FANCA_9.3801,chr16,89812907,89813038,FANCA,1477,776,701,1814,1059,755,
TRHDE_tmb2_1.9738,chr12,72863564,72863690,TRHDE,1477,661,816,1739,807,932,
SP_435.16500,chr12,109017853,109017939,rs2228315,1477,639,838,1540,656,884,
ZFHX3_2.3.154100,chr16,72829151,72829274,ZFHX3,1477,850,627,1937,1012,925,
SMARCA4_8.41051,chr19,11105509,11105634,SMARCA4,1477,1024,453,2285,1162,1123,
e_del_99708_13135_MAP3K1_1.43615,chr5,56152495,56152594,MAP3K1,1476,659,817,1558,698,860,
SP_1635.5300,chr8,124206283,124206409,rs7813708,1476,741,735,1694,857,837,
ATRX_17.10817,chrX,76888716,76888841,ATRX,1475,768,707,1768,957,811,
SP_1127.37861,chr3,64009424,64009530,rs40610,1475,708,767,1661,732,929,
RIT1_1.39744,chr1,155870331,155870453,RIT1,1475,692,783,1752,852,900,
ARID1B_9.77226,chr6,157469935,157470066,ARID1B,1475,1206,269,2682,1352,1330,
NOTCH4_13.30313,chr6,32178509,32178644,NOTCH4,1475,755,720,1834,896,938,
FANCE_2.131278,chr6,35423935,35424066,FANCE,1475,652,823,1671,807,864,
SP_724.12398,chr17,48768401,48768507,rs1051640,1475,745,730,1551,769,782,
MGA_16.2.73048,chr15,42042780,42042878,MGA,1474,687,787,1554,725,829,
CDH1_9.92064,chr16,68847375,68847501,CDH1,1474,640,834,1661,782,879,
SPEN_11.5.129569,chr1,16258481,16258613,SPEN,1474,631,843,1928,901,1027,
TAP1_tmb7_1.34497,chr6,32819885,32820009,TAP1,1473,790,683,1626,895,731,
63857_5.26461,chr14,45645857,45645973,FANCM,1473,726,747,1665,871,794,
FANCD2_11.22212,chr3,10084712,10084861,FANCD2,1473,685,788,1650,732,918,
ANO4_tmb3_1.38045,chr12,101336162,101336291,ANO4,1473,711,762,1802,884,918,
SP_1572.17613,chr8,6690264,6690392,rs2741098,1473,747,726,1900,967,933,
RPA1_3.23991,chr17,1747201,1747320,RPA1,1473,1449,24,1544,1499,45,
TBX3_8.6738,chr12,115120966,115121069,TBX3,1473,646,827,1580,706,874,
DPYD_7.2654,chr1,97771820,97771904,DPYD,1473,664,809,1548,705,843,
ZMYM3_9.49364,chrX,70465519,70465632,ZMYM3,1472,640,832,1574,703,871,
POLE_19.57373,chr12,133225818,133225931,POLE,1472,861,611,1775,895,880,
MLH1_15.53191,chr3,37090415,37090539,MLH1,1472,623,849,1722,680,1042,
NOTCH1_9.10398,chr9,139398995,139399133,NOTCH1,1472,778,694,1722,846,876,
ERBB4_2.2467,chr2,212288889,212288999,ERBB4,1472,1115,357,1747,1348,399,
MAP3K4_28.42254,chr6,161537829,161537916,MAP3K4,1472,749,723,1681,791,890,
KMT2C_24.1.123689,chr7,151877988,151878081,KMT2C,1471,682,789,1594,706,888,
AXIN1_10.242458,chr16,396437,396555,AXIN1,1471,766,705,1629,856,773,
PARP1_19.46494,chr1,226576330,226576453,PARP1,1471,677,794,1711,788,923,
KMT2D_16.1.57357,chr12,49425246,49425382,KMT2D,1471,617,854,1741,842,899,
PRDM1_6.1.128490,chr6,106552665,106552789,PRDM1,1471,708,763,1701,855,846,
TSC2_41.2401,chr16,2138514,2138643,TSC2,1471,652,819,1885,1013,872,
PTCH1_9.129692,chr9,98229474,98229594,PTCH1,1471,701,770,1562,752,810,
MAP3K4_21.11840,chr6,161527699,161527801,MAP3K4,1471,658,813,1629,721,908,
ERCC2_6.4059,chr19,45856448,45856562,ERCC2,1471,699,772,1695,869,826,
ACVR2A_9.19747,chr2,148680596,148680715,ACVR2A,1471,643,828,1886,760,1126,
SP_218.40443,chr7,128850190,128850294,SMO,1471,804,667,1572,851,721,
PIM1_4.22018,chr6,37138878,37139009,PIM1,1470,782,688,1618,833,785,
CD276_1.31048,chr15,73991923,73992057,CD276,1470,555,915,2292,1110,1182,
FGF23_1.60983,chr12,4479456,4479590,FGF23,1470,359,1111,2471,1245,1226,
FG_SP_132.23797,chr4,187521139,187521277,FAT1,1470,810,660,1786,1011,775,
BCL2L12_5.61175,chr19,50172251,50172346,BCL2L12,1469,693,776,1613,825,788,
RAD51_2.41966,chr15,40993160,40993270,RAD51,1469,678,791,1598,721,877,
DICER1_3.82131,chr14,95557538,95557615,DICER1,1469,706,763,1539,744,795,
NOTCH4_5.36151,chr6,32166263,32166392,NOTCH4,1469,771,698,1789,1034,755,
FANCA_31.11815,chr16,89858315,89858450,FANCA,1469,800,669,1699,868,831,
EP300_22.35895,chr22,41560126,41560252,EP300,1469,645,824,1922,981,941,
LOW_r842_1.7926,chr9,5081665,5081788,JAK2,1469,1116,353,1593,1216,377,
KEL_tmb12_1.31035,chr7,142658453,142658588,KEL,1469,549,920,2447,1147,1300,
ERAP2_tmb1_1.47698,chr5,96219500,96219628,ERAP2,1469,675,794,1666,811,855,
OBRA_BRCA1_104,chr17,41256899,41257003,BRCA1,1468,737,731,1597,799,798,
ETV6_6.102491,chr12,12037345,12037469,ETV6,1468,778,690,1582,823,759,
POT1_8.21397,chr7,124492952,124493080,POT1,1468,796,672,1611,868,743,
CHEK2_5.13184,chr22,29091790,29091923,CHEK2,1468,868,600,1705,962,743,
RAD54L_11.14283,chr1,46738115,46738243,RAD54L,1467,685,782,1655,782,873,
SPEN_12.966,chr1,16263924,16264053,SPEN,1467,625,842,2085,1109,976,
FBXW7_13.115669,chr4,153332737,153332856,FBXW7,1466,805,661,1626,913,713,
EZH2_4.48205,chr7,148507351,148507476,EZH2,1466,831,635,1747,935,812,
ALK_2.32226,chr2,29420479,29420555,ALK,1466,761,705,1613,851,762,
WL_SETD2_17.20362,chr3,47155270,47155393,SETD2,1466,867,599,1985,1043,942,
ABL2_2.50711,chr1,179084127,179084235,ABL2,1466,679,787,1569,713,856,
133490_1.35983,chr7,124475421,124475490,POT1,1466,725,741,1617,800,817,
KMT2D_52.46854,chr12,49448261,49448355,KMT2D,1465,773,692,1581,846,735,
SP_1375.12575,chr6,14131766,14131896,rs7743206,1465,800,665,2025,951,1074,
PIK3CA_7.5513,chr3,178928047,178928160,PIK3CA,1465,393,1072,2197,1040,1157,
SPEN_11.6.47116,chr1,16260303,16260430,SPEN,1465,687,778,1588,754,834,
ATM_5.22526,chr11,108114786,108114894,ATM,1465,682,783,1663,774,889,
RARA_8.23160,chr17,38511516,38511653,RARA,1465,808,657,1697,870,827,
SP_1218.704,chr4,44652025,44652100,rs2348353,1465,692,773,1612,772,840,
AKT1_5.12418,chr14,105239542,105239631,AKT1,1465,693,772,1677,763,914,
SP_440.9813,chr12,113319523,113319611,rs2240194,1464,674,790,1531,721,810,
SP_411.8040,chr12,72164322,72164414,rs3741688,1464,754,710,1624,873,751,
APC_12.15256,chr5,112162800,112162916,APC,1464,732,732,1512,758,754,
APC_16.7.98353,chr5,112179444,112179577,APC,1464,749,715,1852,911,941,
LARP4B_12.76902,chr10,888907,889003,LARP4B,1464,804,660,1556,851,705,
